Association Rules,lift,confidence
Bag of Organic Bananas ==> 100% Raw Coconut Water,1.8274594436417504,0.05340453938584779
100% Raw Coconut Water ==> Bag of Organic Bananas,1.8274594436417504,0.547945205479452
100% Raw Coconut Water ==> Organic Hass Avocado,1.8637896558927984,0.3424657534246575
Organic Hass Avocado ==> 100% Raw Coconut Water,1.8637896558927984,0.05446623093681917
Organic Raspberries ==> 100% Raw Coconut Water,2.4172487828479845,0.0706401766004415
100% Raw Coconut Water ==> Organic Raspberries,2.4172487828479845,0.4383561643835616
Organic Strawberries ==> 100% Raw Coconut Water,1.4877903513996427,0.043478260869565216
100% Raw Coconut Water ==> Organic Strawberries,1.4877903513996427,0.3972602739726027
Bag of Organic Bananas ==> 100% Whole Wheat Bread,0.8139265051815118,0.05473965287049399
100% Whole Wheat Bread ==> Bag of Organic Bananas,0.8139265051815119,0.24404761904761907
Banana ==> 100% Whole Wheat Bread,1.2590725806451613,0.0846774193548387
100% Whole Wheat Bread ==> Banana,1.2590725806451613,0.375
Limes ==> 100% Whole Wheat Bread,0.8887246852764095,0.059770114942528735
100% Whole Wheat Bread ==> Limes,0.8887246852764094,0.15476190476190477
Organic Baby Spinach ==> 100% Whole Wheat Bread,0.8037323037323038,0.05405405405405406
100% Whole Wheat Bread ==> Organic Baby Spinach,0.8037323037323038,0.15476190476190477
100% Whole Wheat Bread ==> Organic Hass Avocado,1.0690164954870836,0.19642857142857142
Organic Hass Avocado ==> 100% Whole Wheat Bread,1.0690164954870836,0.0718954248366013
Organic Raspberries ==> 100% Whole Wheat Bread,1.0175286450120888,0.0684326710816777
100% Whole Wheat Bread ==> Organic Raspberries,1.0175286450120888,0.18452380952380953
Organic Strawberries ==> 100% Whole Wheat Bread,0.9585742842864281,0.06446776611694152
100% Whole Wheat Bread ==> Organic Strawberries,0.9585742842864282,0.25595238095238093
Strawberries ==> 100% Whole Wheat Bread,1.3633510710874608,0.09169054441260745
100% Whole Wheat Bread ==> Strawberries,1.3633510710874608,0.19047619047619047
Banana ==> 2% Reduced Fat Milk,1.5629866518353728,0.036290322580645164
2% Reduced Fat Milk ==> Banana,1.5629866518353728,0.4655172413793104
Bag of Organic Bananas ==> Apple Honeycrisp Organic,1.7838979103921506,0.09212283044058744
Apple Honeycrisp Organic ==> Bag of Organic Bananas,1.7838979103921504,0.5348837209302325
Limes ==> Apple Honeycrisp Organic,1.1128931658201904,0.057471264367816084
Apple Honeycrisp Organic ==> Limes,1.1128931658201906,0.19379844961240308
Organic Baby Spinach ==> Apple Honeycrisp Organic,1.08697964511918,0.056133056133056136
Apple Honeycrisp Organic ==> Organic Baby Spinach,1.08697964511918,0.20930232558139536
